स्थिति,सूत्र,टिप्पणी
णिसिँ॒,-,-
णिसिँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
णिस्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
णिस्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
निस्,णो नः (6.1.65),धातोरादेः णस्य नः
निन्स्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
निंस्,नश्चापदान्तस्य झलि (8.3.24),अनुस्वारादेशः
