स्थिति,सूत्र,टिप्पणी
ष्टृक्षँ,-,-
ष्टृक्षँ,उपदेशेऽजनुनासिक इत् (1.3.2),अकारस्य इत्संज्ञा
ष्टृक्ष्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
ष्टृक्ष्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
स्तृक्ष्,धात्वादेः षः सः (6.1.64),धातोरादेः षस्य सः
