स्थिति,सूत्र,टिप्पणी
कृविँ,-,-
कृविँ,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
कृव्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
कृव्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
कृन्व्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
