स्थिति,सूत्र,टिप्पणी
ओँलस्जीँ॒,-,-
ओलस्जीँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),ईकारस्य इत्संज्ञा
ओलस्ज्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
ओलस्ज्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
