स्थिति,सूत्र,टिप्पणी
रिविँ,-,-
रिविँ,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
रिव्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
रिव्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
रिन्व्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
