स्थिति,सूत्र,टिप्पणी
डुदा॒ञ्,-,-
डुदा॒ञ्,हलन्त्यम् (1.3.3),ञकारस्य इत्संज्ञा
डुदा॒ञ्,हलन्त्यम् (1.3.3),डु-इत्यस्य इत्संज्ञा
दा॒,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
दा॒,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
दा,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
