स्थिति,सूत्र,टिप्पणी
क्ष्वेलृँ,-,-
क्ष्वेलृँ,उपदेशेऽजनुनासिक इत् (1.3.2),ऋकारस्य इत्संज्ञा
क्ष्वेल्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
क्ष्वेल्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
