स्थिति,सूत्र,टिप्पणी
ब्ली॒,-,-
ब्ली॒,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
ब्ली,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
