स्थिति,सूत्र,टिप्पणी
ञिमिदाँ,-,-
ञिमिदाँ,उपदेशेऽजनुनासिक इत् (1.3.2),आकारस्य इत्संज्ञा
ञिमिदाँ,हलन्त्यम् (1.3.3),ञि-इत्यस्य इत्संज्ञा
मिद्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
मिद्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
