स्थिति,सूत्र,टिप्पणी
र॒ञ्जँ॑,-,-
र॒ञ्जँ॑,उपदेशेऽजनुनासिक इत् (1.3.2),अकारस्य इत्संज्ञा
र॒ञ्ज्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
र॒ञ्ज्,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
रञ्ज्,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
