स्थिति,सूत्र,टिप्पणी
तृहूँ,-,-
तृहूँ,उपदेशेऽजनुनासिक इत् (1.3.2),ऊकारस्य इत्संज्ञा
तृह्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
तृह्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
तृह्,स्वरतिसूतिसूयतिधूञूदितो वा (7.2.44),धातुः वेट्
