स्थिति,सूत्र,टिप्पणी
पेषृँ॒,-,-
पेषृँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),ऋकारस्य इत्संज्ञा
पेष्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
पेष्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
