स्थिति,सूत्र,टिप्पणी
छदिर्,-,-
छदिर्,हलन्त्यम् (1.3.3),रकारस्य इत्संज्ञा
छदि,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
छदि,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
