स्थिति,सूत्र,टिप्पणी
पूञ्,-,-
पूञ्,हलन्त्यम् (1.3.3),ञकारस्य इत्संज्ञा
पू,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
पू,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
