स्थिति,सूत्र,टिप्पणी
कृपूँ॒,-,-
कृपूँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),ऊकारस्य इत्संज्ञा
कृप्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
कृप्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
कृप्,स्वरतिसूतिसूयतिधूञूदितो वा (7.2.44),धातुः वेट्
