स्थिति,सूत्र,टिप्पणी
शिजिँ॒,-,-
शिजिँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
शिज्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
शिज्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
शिन्ज्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
शिंज्,नश्चापदान्तस्य झलि (8.3.24),अनुस्वारादेशः
शिञ्ज्,अनुस्वारस्य_ययि_परसवर्णः (8.4.58),परसवर्णादेशः
