स्थिति,सूत्र,टिप्पणी
तुहिँर्,-,-
तुहिँर्,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
तुहिँर्,हलन्त्यम् (1.3.3),इकारस्य इत्संज्ञा
तुह्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
तुह्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
तुन्ह्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
तुंह्,नश्चापदान्तस्य झलि (8.3.24),अनुस्वारादेशः
