स्थिति,सूत्र,टिप्पणी
स्फायीँ॒,-,-
स्फायीँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),ईकारस्य इत्संज्ञा
स्फाय्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
स्फाय्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
