स्थिति,सूत्र,टिप्पणी
धूञ्,-,-
धूञ्,हलन्त्यम् (1.3.3),ञकारस्य इत्संज्ञा
धू,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
धू,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
