स्थिति,सूत्र,टिप्पणी
ञितृषँ,-,-
ञितृषँ,उपदेशेऽजनुनासिक इत् (1.3.2),अकारस्य इत्संज्ञा
ञितृषँ,हलन्त्यम् (1.3.3),ञि-इत्यस्य इत्संज्ञा
तृष्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
तृष्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
