क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,इडागम,धातु
१.५२,भ्वादि,खदँ,स्थैर्ये॑ हिं॒सायां॑ च,['अ'],परस्मैपदी,सेट्,खद्
१.५३,भ्वादि,बदँ,स्थैर्ये॑,['अ'],परस्मैपदी,सेट्,बद्
१.५४,भ्वादि,गदँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,सेट्,गद्
१.५५,भ्वादि,रदँ,वि॒लेख॑ने,['अ'],परस्मैपदी,सेट्,रद्
१.५६,भ्वादि,णदँ,अव्य॑क्ते॒ शब्दे॑,['अ'],परस्मैपदी,सेट्,णद्
१.५७,भ्वादि,अर्दँ,गतौ॒ याच॑ने च,['अ'],परस्मैपदी,सेट्,अर्द्
१.५८,भ्वादि,नर्दँ,शब्दे॑,['अ'],परस्मैपदी,सेट्,नर्द्
१.५९,भ्वादि,गर्दँ,शब्दे॑,['अ'],परस्मैपदी,सेट्,गर्द्
१.६०,भ्वादि,तर्दँ,हिं॒साया॑म्,['अ'],परस्मैपदी,सेट्,तर्द्
१.६१,भ्वादि,कर्दँ,कुत्सि॒ते शब्दे॑,['अ'],परस्मैपदी,सेट्,कर्द्
१.६२,भ्वादि,खर्दँ,दन्द॒शूके॑,['अ'],परस्मैपदी,सेट्,खर्द्
१.६३,भ्वादि,अतिँ,बन्ध॑ने,['इ'],परस्मैपदी,सेट्,अन्त्
१.६४,भ्वादि,अदिँ,बन्ध॑ने,['इ'],परस्मैपदी,सेट्,अन्द्
१.६५,भ्वादि,इदिँ,परमैश्व॒र्ये,['इ'],परस्मैपदी,सेट्,इन्द्
१.६६,भ्वादि,बिदिँ,अवय॒वे,['इ'],परस्मैपदी,सेट्,बिन्द्
१.६७,भ्वादि,भिदिँ,इत्येके॑,['इ'],परस्मैपदी,सेट्,भिन्द्
१.६८,भ्वादि,गडिँ,वदनैकदे॒शे,['इ'],परस्मैपदी,सेट्,गण्ड्
१.६९,भ्वादि,णिदिँ,कु॒त्साया॑म्,['इ'],परस्मैपदी,सेट्,णिन्द्
१.७०,भ्वादि,टुनदिँ,समृ॑द्धौ,"['टु', 'इ']",परस्मैपदी,सेट्,नन्द्
१.७१,भ्वादि,चदिँ,आह्ला॒दे दीप्तौ॑ च,['इ'],परस्मैपदी,सेट्,चन्द्
१.७२,भ्वादि,त्रदिँ,चे॒ष्टाया॑म्,['इ'],परस्मैपदी,सेट्,त्रन्द्
१.७३,भ्वादि,कदिँ,आह्वा॒ने॒ रोद॑ने च,['इ'],परस्मैपदी,सेट्,कन्द्
१.७४,भ्वादि,क्रदिँ,आह्वा॒ने॒ रोद॑ने च,['इ'],परस्मैपदी,सेट्,क्रन्द्
१.७५,भ्वादि,क्लदिँ,आह्वा॒ने॒ रोद॑ने च,['इ'],परस्मैपदी,सेट्,क्लन्द्
१.७६,भ्वादि,क्लिदिँ,परि॒देव॑ने,['इ'],परस्मैपदी,सेट्,क्लिन्द्
१.७७,भ्वादि,शुन्धँ,,['अ'],परस्मैपदी,सेट्,शुन्ध्
१.७८,भ्वादि,शीकृँ॒,सेच॑ने,['ऋ'],आत्मनेपदी,सेट्,शीक्
१.७९,भ्वादि,सीकृँ॒,इत्येके॑,['ऋ'],आत्मनेपदी,सेट्,सीक्
१.८०,भ्वादि,लोकृँ॒,दर्श॑ने,['ऋ'],आत्मनेपदी,सेट्,लोक्
१.८१,भ्वादि,श्लोकृँ॒,सङ्घा॒ते,['ऋ'],आत्मनेपदी,सेट्,श्लोक्
१.८२,भ्वादि,स्रोकृँ॒,इति॑ पाठान्त॒रम्,['ऋ'],आत्मनेपदी,सेट्,स्रोक्
१.८३,भ्वादि,द्रेकृँ॒,शब्दोत्साह॒योः॑,['ऋ'],आत्मनेपदी,सेट्,द्रेक्
१.८४,भ्वादि,ध्रेकृँ॒,शब्दोत्साह॒योः॑,['ऋ'],आत्मनेपदी,सेट्,ध्रेक्
१.८५,भ्वादि,रेकृँ॒,श॒ङ्काया॑म्,['ऋ'],आत्मनेपदी,सेट्,रेक्
१.८६,भ्वादि,सेकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,सेक्
१.८७,भ्वादि,स्रेकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,स्रेक्
१.८८,भ्वादि,स्रकिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,स्रङ्क्
१.८९,भ्वादि,श्रकिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,श्रङ्क्
१.९०,भ्वादि,श्लकिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,श्लङ्क्
१.९१,भ्वादि,शकिँ॒,श॒ङ्काया॑म्,['इ'],आत्मनेपदी,सेट्,शङ्क्
१.९२,भ्वादि,अकिँ॒,लक्ष॑णे,['इ'],आत्मनेपदी,सेट्,अङ्क्
१.९३,भ्वादि,वकिँ॒,कौटि॑ल्ये,['इ'],आत्मनेपदी,सेट्,वङ्क्
१.९४,भ्वादि,मकिँ॒,मण्ड॑ने,['इ'],आत्मनेपदी,सेट्,मङ्क्
१.९५,भ्वादि,ककँ॒,लौल्ये॑,['अ'],आत्मनेपदी,सेट्,कक्
१.९६,भ्वादि,कुकँ॒,आदा॒ने,['अ'],आत्मनेपदी,सेट्,कुक्
१.९७,भ्वादि,वृकँ॒,आदा॒ने,['अ'],आत्मनेपदी,सेट्,वृक्
१.९८,भ्वादि,चकँ॒,तृप्तौ॑ प्रतिघा॒ते च॑,['अ'],आत्मनेपदी,सेट्,चक्
१.९९,भ्वादि,ककिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,कङ्क्
१.१००,भ्वादि,वकिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,वङ्क्
१.१०१,भ्वादि,श्वकिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,श्वङ्क्
१.१०२,भ्वादि,त्रकिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,त्रङ्क्
१.१०३,भ्वादि,ढौकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,ढौक्
१.१०४,भ्वादि,त्रौकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,त्रौक्
१.१०५,भ्वादि,ष्वष्कँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,स्वष्क्
१.१०६,भ्वादि,वस्कँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,वस्क्
१.१०७,भ्वादि,मस्कँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,मस्क्
१.१०८,भ्वादि,टिकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,टिक्
१.१०९,भ्वादि,टीकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,टीक्
१.११०,भ्वादि,तिकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,तिक्
१.१११,भ्वादि,तीकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,तीक्
१.११२,भ्वादि,रघिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,रङ्घ्
१.११३,भ्वादि,लघिँ॒,गतौ॑ भोजननिवृ॒त्तावपि॑,['इ'],आत्मनेपदी,सेट्,लङ्घ्
१.११४,भ्वादि,ष्वकिँ॒,इत्येके॑ (तृ॒तीयो॒ दन्त्या॑दि॒रित्येके॑),['इ'],आत्मनेपदी,सेट्,स्वङ्क्
१.११५,भ्वादि,अघिँ॒,गत्याक्षे॒पे,['इ'],आत्मनेपदी,सेट्,अङ्घ्
१.११६,भ्वादि,वघिँ॒,गत्याक्षे॒पे,['इ'],आत्मनेपदी,सेट्,वङ्घ्
१.११७,भ्वादि,मघिँ॒,गत्याक्षे॒पे गतौ॑ गत्यार॒म्भे चेत्यप॑रे कैत॑वे च,['इ'],आत्मनेपदी,सेट्,मङ्घ्
१.११८,भ्वादि,राघृँ॒,साम॑र्थ्ये,['ऋ'],आत्मनेपदी,सेट्,राघ्
१.११९,भ्वादि,लाघृँ॒,साम॑र्थ्ये,['ऋ'],आत्मनेपदी,सेट्,लाघ्
१.१२०,भ्वादि,द्राघृँ॒,साम॑र्थ्ये आया॒मे च॑,['ऋ'],आत्मनेपदी,सेट्,द्राघ्
१.१२१,भ्वादि,ध्राघृँ॒,साम॑र्थ्ये,['ऋ'],आत्मनेपदी,सेट्,ध्राघ्
१.१२२,भ्वादि,श्लाघृँ॒,,['ऋ'],आत्मनेपदी,सेट्,श्लाघ्
१.१२३,भ्वादि,फक्कँ,नि॒चैर्ग॑तौ,['अ'],परस्मैपदी,सेट्,फक्क्
१.१२४,भ्वादि,तकँ,हस॑ने,['अ'],परस्मैपदी,सेट्,तक्
१.१२५,भ्वादि,तकिँ,कृच्छ्रजीव॒ने,['इ'],परस्मैपदी,सेट्,तङ्क्
१.१२६,भ्वादि,बुक्कँ,भष॑णे ।,['अ'],परस्मैपदी,सेट्,बुक्क्
१.१२७,भ्वादि,शुकँ,गतौ॑,['अ'],परस्मैपदी,सेट्,शुक्
१.१२८,भ्वादि,कखँ,हस॑ने,['अ'],परस्मैपदी,सेट्,कख्
१.१२९,भ्वादि,ओखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,सेट्,ओख्
१.१३०,भ्वादि,राखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,सेट्,राख्
१.१३१,भ्वादि,लाखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,सेट्,लाख्
१.१३२,भ्वादि,द्राखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,सेट्,द्राख्
१.१३३,भ्वादि,ध्राखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,सेट्,ध्राख्
१.१३४,भ्वादि,शाखृँ,व्या॑प्तौ,['ऋ'],परस्मैपदी,सेट्,शाख्
१.१३५,भ्वादि,श्लाखृँ,व्या॑प्तौ,['ऋ'],परस्मैपदी,सेट्,श्लाख्
१.१३६,भ्वादि,उखँ,गतौ॑,['अ'],परस्मैपदी,सेट्,उख्
१.१३७,भ्वादि,उखिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,उङ्ख्
१.१३८,भ्वादि,वखँ, गतौ॑,['अ'],परस्मैपदी,सेट्,वख्
१.१३९,भ्वादि,वखिँ, गतौ॑,['इ'],परस्मैपदी,सेट्,वङ्ख्
