क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,इडागम,धातु
१.३३४,भ्वादि,रटँ,परि॒भाष॑णे,['अ'],परस्मैपदी,सेट्,रट्
१.३३५,भ्वादि,लटँ,बाल्ये॑,['अ'],परस्मैपदी,सेट्,लट्
१.३३६,भ्वादि,शटँ,रुजाविशरणगत्यवसाद॒नेषु॑,['अ'],परस्मैपदी,सेट्,शट्
१.३३७,भ्वादि,वटँ,वेष्ट॑ने,['अ'],परस्मैपदी,सेट्,वट्
१.३३८,भ्वादि,किटँ,त्रा॒से,['अ'],परस्मैपदी,सेट्,किट्
१.३३९,भ्वादि,खिटँ,त्रा॒से,['अ'],परस्मैपदी,सेट्,खिट्
१.३४०,भ्वादि,शिटँ,अना॑दरे,['अ'],परस्मैपदी,सेट्,शिट्
१.३४१,भ्वादि,षिटँ,अना॑दरे,['अ'],परस्मैपदी,सेट्,सिट्
१.३४२,भ्वादि,जटँ,सङ्घा॒ते,['अ'],परस्मैपदी,सेट्,जट्
१.३४३,भ्वादि,झटँ,सङ्घा॒ते,['अ'],परस्मैपदी,सेट्,झट्
१.३४४,भ्वादि,भटँ,भृतौ॑,['अ'],परस्मैपदी,सेट्,भट्
१.३४५,भ्वादि,तटँ,उच्छ्रा॒ये,['अ'],परस्मैपदी,सेट्,तट्
१.३४६,भ्वादि,खटँ,का॒ङ्क्षाया॑म्,['अ'],परस्मैपदी,सेट्,खट्
१.३४७,भ्वादि,णटँ,नृतौ॑,['अ'],परस्मैपदी,सेट्,णट्
१.३४८,भ्वादि,पिटँ,शब्दसङ्घा॒तयोः॑,['अ'],परस्मैपदी,सेट्,पिट्
१.३४९,भ्वादि,हटँ,शब्दसङ्घा॒तयोः॑ दीप्तौ॑ च,['अ'],परस्मैपदी,सेट्,हट्
१.३५०,भ्वादि,षटँ,अव॒यवे॑,['अ'],परस्मैपदी,सेट्,सट्
१.३५१,भ्वादि,लुटँ,वि॒लोड॑ने,['अ'],परस्मैपदी,सेट्,लुट्
१.३५२,भ्वादि,लुडँ,इत्येके॑ (डान्तो॒ऽयमित्येके॑),['अ'],परस्मैपदी,सेट्,लुड्
१.३५३,भ्वादि,चिटँ,परप्रै॒ष्ये (परप्रे॒ष्ये),['अ'],परस्मैपदी,सेट्,चिट्
१.३५४,भ्वादि,विटँ,शब्दे॑,['अ'],परस्मैपदी,सेट्,विट्
१.३५५,भ्वादि,बिटँ,आक्रो॒शे ।,['अ'],परस्मैपदी,सेट्,बिट्
१.३५६,भ्वादि,हिटँ,इत्येके॑,['अ'],परस्मैपदी,सेट्,हिट्
१.३५७,भ्वादि,इटँ,गतौ॑,['अ'],परस्मैपदी,सेट्,इट्
१.३५८,भ्वादि,किटँ,गतौ॑,['अ'],परस्मैपदी,सेट्,किट्
१.३५९,भ्वादि,कटीँ,गतौ॑,['ई'],परस्मैपदी,सेट्,कट्
१.३६०,भ्वादि,हेठँ,विबा॒धाया॑म्,['अ'],परस्मैपदी,सेट्,हेठ्
१.३६१,भ्वादि,मडिँ,भू॒षाया॑म्,['इ'],परस्मैपदी,सेट्,मण्ड्
१.३६२,भ्वादि,कुडिँ,वैक॑ल्ये,['इ'],परस्मैपदी,सेट्,कुण्ड्
१.३६३,भ्वादि,कुटिँ,इत्येके॑,['इ'],परस्मैपदी,सेट्,कुण्ट्
१.३६४,भ्वादि,मुडँ,मर्द॑ने (प्र॒मर्द॑ने),['अ'],परस्मैपदी,सेट्,मुड्
१.३६५,भ्वादि,पुडँ,मर्द॑ने (प्र॒मर्द॑ने),['अ'],परस्मैपदी,सेट्,पुड्
१.३६६,भ्वादि,मुटँ,मर्द॑ने (प्र॒मर्द॑ने),['अ'],परस्मैपदी,सेट्,मुट्
१.३६७,भ्वादि,पुटँ,मर्द॑ने (प्र॒मर्द॑ने),['अ'],परस्मैपदी,सेट्,पुट्
१.३६८,भ्वादि,चुडिँ,अल्पीभा॒वे,['इ'],परस्मैपदी,सेट्,चुण्ड्
१.३६९,भ्वादि,मुडिँ,खण्ड॑ने,['इ'],परस्मैपदी,सेट्,मुण्ड्
१.३७०,भ्वादि,पुडिँ,खण्ड॑ने,['इ'],परस्मैपदी,सेट्,पुण्ड्
१.३७१,भ्वादि,रुटिँ,स्तेये॑,['इ'],परस्मैपदी,सेट्,रुण्ट्
१.३७२,भ्वादि,लुटिँ,स्तेये॑,['इ'],परस्मैपदी,सेट्,लुण्ट्
१.३७३,भ्वादि,रुठिँ,स्तेये॑,['इ'],परस्मैपदी,सेट्,रुण्ठ्
१.३७४,भ्वादि,लुठिँ,स्तेये॑ ।,['इ'],परस्मैपदी,सेट्,लुण्ठ्
१.३७५,भ्वादि,रुडिँ,इत्यप॑रे,['इ'],परस्मैपदी,सेट्,रुण्ड्
१.३७६,भ्वादि,लुडिँ,इत्यप॑रे,['इ'],परस्मैपदी,सेट्,लुण्ड्
१.३७७,भ्वादि,वटिँ,वि॒भाज॑ने,['इ'],परस्मैपदी,सेट्,वण्ट्
१.३७८,भ्वादि,बटिँ,इत्येके॑,['इ'],परस्मैपदी,सेट्,बण्ट्
१.३७९,भ्वादि,स्फुटिँर्,वि॒शर॑णे,['इर्'],परस्मैपदी,सेट्,स्फुट्
१.३८०,भ्वादि,स्फुटिँ,वि॒शर॑णे,['इ'],परस्मैपदी,सेट्,स्फुण्ट्
१.३८१,भ्वादि,पठँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,सेट्,पठ्
१.३८२,भ्वादि,वठँ,स्थौल्ये॑,['अ'],परस्मैपदी,सेट्,वठ्
१.३८३,भ्वादि,बठँ,इत्येके॑,['अ'],परस्मैपदी,सेट्,बठ्
१.३८४,भ्वादि,मठँ,मदनिवा॒सयोः॑,['अ'],परस्मैपदी,सेट्,मठ्
१.३८५,भ्वादि,कठँ,कृच्छ्रजीव॒ने,['अ'],परस्मैपदी,सेट्,कठ्
१.३८६,भ्वादि,रठँ,परि॒भाष॑णे,['अ'],परस्मैपदी,सेट्,रठ्
१.३८७,भ्वादि,रटँ,परि॒भाष॑णे,['अ'],परस्मैपदी,सेट्,रट्
१.३८८,भ्वादि,हठँ,प्लुतिशठ॒त्वयोः॑ बलात्का॒र इत्य॒न्ये,['अ'],परस्मैपदी,सेट्,हठ्
१.३८९,भ्वादि,रुठँ,उपघा॒ते,['अ'],परस्मैपदी,सेट्,रुठ्
१.३९०,भ्वादि,लुठँ,उपघा॒ते,['अ'],परस्मैपदी,सेट्,लुठ्
१.३९१,भ्वादि,ऊठँ,उपघा॒ते,['अ'],परस्मैपदी,सेट्,ऊठ्
१.३९२,भ्वादि,उठँ,इत्येके॑,['अ'],परस्मैपदी,सेट्,उठ्
१.३९३,भ्वादि,पिठँ,हिंसासङ्क्लेश॒नयोः॑,['अ'],परस्मैपदी,सेट्,पिठ्
१.३९४,भ्वादि,शठँ,कैत॑वे च,['अ'],परस्मैपदी,सेट्,शठ्
१.३९५,भ्वादि,शुठँ,गतिप्रतिघा॒ते (प्रतिघा॒ते),['अ'],परस्मैपदी,सेट्,शुठ्
१.३९६,भ्वादि,शुठिँ,इत्येके॑,['इ'],परस्मैपदी,सेट्,शुण्ठ्
१.३९७,भ्वादि,कुठिँ,च,['इ'],परस्मैपदी,सेट्,कुण्ठ्
१.३९८,भ्वादि,लुठिँ,आल॑स्ये प्रतिघा॒ते च॑,['इ'],परस्मैपदी,सेट्,लुण्ठ्
१.३९९,भ्वादि,शुठिँ,शोष॑णे,['इ'],परस्मैपदी,सेट्,शुण्ठ्
१.४००,भ्वादि,रुठिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,रुण्ठ्
१.४०१,भ्वादि,लुठिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,लुण्ठ्
१.४०२,भ्वादि,चुड्डँ,भावकर॒णे,['अ'],परस्मैपदी,सेट्,चुड्ड्
१.४०३,भ्वादि,अड्डँ,अभियो॒गे,['अ'],परस्मैपदी,सेट्,अड्ड्
१.४०४,भ्वादि,कड्डँ,कार्क॑श्ये,['अ'],परस्मैपदी,सेट्,कड्ड्
१.४०५,भ्वादि,क्रीडृँ,विहा॒रे,['ऋ'],परस्मैपदी,सेट्,क्रीड्
१.४०६,भ्वादि,तुडृँ,तोड॑ने ।,['ऋ'],परस्मैपदी,सेट्,तुड्
१.४०७,भ्वादि,तूडृँ,इत्येके॑,['ऋ'],परस्मैपदी,सेट्,तूड्
१.४०८,भ्वादि,हुडृँ,गतौ॑,['ऋ'],परस्मैपदी,सेट्,हुड्
१.४०९,भ्वादि,हूडृँ,गतौ॑,['ऋ'],परस्मैपदी,सेट्,हूड्
१.४१०,भ्वादि,होडृँ,गतौ॑,['ऋ'],परस्मैपदी,सेट्,होड्
१.४११,भ्वादि,रौडृँ,अना॑दरे,['ऋ'],परस्मैपदी,सेट्,रौड्
१.४१२,भ्वादि,रोडृँ,उन्मा॒दे,['ऋ'],परस्मैपदी,सेट्,रोड्
१.४१३,भ्वादि,लोडृँ,उन्मा॒दे,['ऋ'],परस्मैपदी,सेट्,लोड्
१.४१४,भ्वादि,अडँ,उद्य॒मे,['अ'],परस्मैपदी,सेट्,अड्
१.४१५,भ्वादि,लडँ,विला॒से,['अ'],परस्मैपदी,सेट्,लड्
१.४१६,भ्वादि,ललँ,इत्येके॑ (ई॒प्साया॑म्),['अ'],परस्मैपदी,सेट्,लल्
१.४१७,भ्वादि,कडँ,मदे॑,['अ'],परस्मैपदी,सेट्,कड्
१.४१८,भ्वादि,कडिँ,मदे॑,['इ'],परस्मैपदी,सेट्,कण्ड्
१.४१९,भ्वादि,गडिँ,वदनैकदे॒शे,['इ'],परस्मैपदी,सेट्,गण्ड्
१.४२०,भ्वादि,ति॒पृँ॒,क्षरणे,['ऋ'],आत्मनेपदी,अनिट्,तिप्
१.४२१,भ्वादि,तेपृँ॒,क्षरणे कम्पने च,['ऋ'],आत्मनेपदी,सेट्,तेप्
१.४२२,भ्वादि,ष्टिपृँ॒,क्षरणे,['ऋ'],आत्मनेपदी,सेट्,स्तिप्
१.४२३,भ्वादि,ष्टेपृँ॒,क्षरणे,['ऋ'],आत्मनेपदी,सेट्,स्तेप्
१.४२४,भ्वादि,ग्लेपृँ॒,दैन्ये॑,['ऋ'],आत्मनेपदी,सेट्,ग्लेप्
१.४२५,भ्वादि,टुवेपृ॒,कम्प॑ने,['टु'],परस्मैपदी,अनिट्,वेपृ
१.४२६,भ्वादि,केपृँ॒,कम्प॑ने गतौ॑ च,['ऋ'],आत्मनेपदी,सेट्,केप्
१.४२७,भ्वादि,गेपृँ॒, कम्प॑ने गतौ॑ च,['ऋ'],आत्मनेपदी,सेट्,गेप्
१.४२८,भ्वादि,ग्लेपृँ॒, कम्प॑ने गतौ॑ च,['ऋ'],आत्मनेपदी,सेट्,ग्लेप्
१.४२९,भ्वादि,मेपृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,मेप्
१.४३०,भ्वादि,रेपृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,रेप्
१.४३१,भ्वादि,लेपृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,लेप्
१.४३२,भ्वादि,हेपृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,हेप्
१.४३३,भ्वादि,धेपृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेट्,धेप्
१.४३४,भ्वादि,त्रपूँ॒ष्,ल॒ज्जाया॑म्,"['ष्', 'ऊ']",आत्मनेपदी,वेट्,त्रप्
१.४३५,भ्वादि,कपिँ॒,चल॑ने,['इ'],आत्मनेपदी,सेट्,कम्प्
१.४३६,भ्वादि,रबिँ॒,शब्दे॑,['इ'],आत्मनेपदी,सेट्,रम्ब्
१.४३७,भ्वादि,लबिँ॒,शब्दे॑,['इ'],आत्मनेपदी,सेट्,लम्ब्
१.४३८,भ्वादि,अबिँ॒,शब्दे॑,['इ'],आत्मनेपदी,सेट्,अम्ब्
१.४३९,भ्वादि,लबिँ॒,अव॒स्रंस॑ने (च),['इ'],आत्मनेपदी,सेट्,लम्ब्
१.४४०,भ्वादि,कबृँ॒,वर्णे॑,['ऋ'],आत्मनेपदी,सेट्,कब्
१.४४१,भ्वादि,क्लीबृँ॒,अधा॑र्ष्ठ्ये,['ऋ'],आत्मनेपदी,सेट्,क्लीब्
१.४४२,भ्वादि,क्षीबृँ॒,मदे॑,['ऋ'],आत्मनेपदी,सेट्,क्षीब्
१.४४३,भ्वादि,क्षीवृँ॒,इत्येके॑,['ऋ'],आत्मनेपदी,सेट्,क्षीव्
१.४४४,भ्वादि,शीभृँ॒,कत्थ॑ने,['ऋ'],आत्मनेपदी,सेट्,शीभ्
१.४४५,भ्वादि,बीभृँ॒,कत्थ॑ने,['ऋ'],आत्मनेपदी,सेट्,बीभ्
१.४४६,भ्वादि,चीभृँ॒,कत्थ॑ने,['ऋ'],आत्मनेपदी,सेट्,चीभ्
१.४४७,भ्वादि,रेभृँ॒,शब्दे॑,['ऋ'],आत्मनेपदी,सेट्,रेभ्
१.४४८,भ्वादि,अभिँ॒,शब्दे॑,['इ'],आत्मनेपदी,सेट्,अम्भ्
१.४४९,भ्वादि,रभिँ॒,शब्दे॑,['इ'],आत्मनेपदी,सेट्,रम्भ्
१.४५०,भ्वादि,लभिँ॒,शब्दे॑,['इ'],आत्मनेपदी,सेट्,लम्भ्
१.४५१,भ्वादि,ष्टभिँ॒,प्रतिब॒न्धे,['इ'],आत्मनेपदी,सेट्,स्तम्भ्
१.४५२,भ्वादि,स्कभिँ॒,प्रतिब॒न्धे,['इ'],आत्मनेपदी,सेट्,स्कम्भ्
१.४५३,भ्वादि,जभीँ॒,गात्रविना॒मे,['ई'],आत्मनेपदी,सेट्,जभ्
१.४५४,भ्वादि,जृभिँ॒,गात्रविना॒मे,['इ'],आत्मनेपदी,सेट्,जृम्भ्
१.४५५,भ्वादि,शल्भँ॒,कत्थ॑ने,['अ'],आत्मनेपदी,सेट्,शल्भ्
१.४५६,भ्वादि,वल्भँ॒,भोज॑ने,['अ'],आत्मनेपदी,सेट्,वल्भ्
१.४५७,भ्वादि,गल्भँ॒,धार्ष्ट्ये॑,['अ'],आत्मनेपदी,सेट्,गल्भ्
१.४५८,भ्वादि,श्रम्भुँ॒,प्रमा॒दे ।,['उ'],आत्मनेपदी,सेट्,श्रम्भ्
१.४५९,भ्वादि,स्रम्भुँ॒,इत्येके॑ (दन्त्या॑दिश्च),['उ'],आत्मनेपदी,सेट्,स्रम्भ्
१.४६०,भ्वादि,ष्टुभुँ॒,स्त॒म्भे,['उ'],आत्मनेपदी,सेट्,स्तुभ्
१.४६१,भ्वादि,गुपूँ,रक्ष॑णे,['ऊ'],परस्मैपदी,वेट्,गुप्
१.४६२,भ्वादि,धूपँ,सन्ता॒पे,['अ'],परस्मैपदी,सेट्,धूप्
१.४६३,भ्वादि,जपँ,व्य॑क्तायां वा॒चि मान॒से च॑,['अ'],परस्मैपदी,सेट्,जप्
१.४६४,भ्वादि,जल्पँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,सेट्,जल्प्
१.४६५,भ्वादि,चपँ,सान्त्व॑ने,['अ'],परस्मैपदी,सेट्,चप्
१.४६६,भ्वादि,षपँ,समवा॒ये,['अ'],परस्मैपदी,सेट्,सप्
१.४६७,भ्वादि,रपँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,सेट्,रप्
१.४६८,भ्वादि,लपँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,सेट्,लप्
१.४६९,भ्वादि,चुपँ,म॒न्दायां॒ गतौ॑,['अ'],परस्मैपदी,सेट्,चुप्
१.४७०,भ्वादि,तुपँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,तुप्
१.४७१,भ्वादि,तुम्पँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,तुम्प्
१.४७२,भ्वादि,त्रुपँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,त्रुप्
१.४७३,भ्वादि,त्रुम्पँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,त्रुम्प्
१.४७४,भ्वादि,तुफँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,तुफ्
१.४७५,भ्वादि,तुम्फँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,तुम्फ्
१.४७६,भ्वादि,त्रुफँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,त्रुफ्
१.४७७,भ्वादि,त्रुम्फँ,हिं॒सार्थाः॑,['अ'],परस्मैपदी,सेट्,त्रुम्फ्
१.४७८,भ्वादि,पर्पँ,गतौ॑,['अ'],परस्मैपदी,सेट्,पर्प्
१.४७९,भ्वादि,रफँ,गतौ॑,['अ'],परस्मैपदी,सेट्,रफ्
१.४८०,भ्वादि,रफिँ,गतौ॑,['इ'],परस्मैपदी,सेट्,रम्फ्
१.४८१,भ्वादि,अर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,अर्ब्
१.४८२,भ्वादि,पर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,पर्ब्
१.४८३,भ्वादि,लर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,लर्ब्
१.४८४,भ्वादि,बर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,बर्ब्
१.४८५,भ्वादि,मर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,मर्ब्
१.४८६,भ्वादि,कर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,कर्ब्
१.४८७,भ्वादि,खर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,खर्ब्
१.४८८,भ्वादि,गर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,गर्ब्
१.४८९,भ्वादि,शर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,शर्ब्
१.४९०,भ्वादि,षर्बँ,गतौ॑,['अ'],परस्मैपदी,सेट्,सर्ब्
१.४९१,भ्वादि,चर्बँ,गतौ॑ अद॑ने च,['अ'],परस्मैपदी,सेट्,चर्ब्
१.४९२,भ्वादि,कुबिँ,आच्छाद॑ने (छाद॑ने),['इ'],परस्मैपदी,सेट्,कुम्ब्
१.४९३,भ्वादि,लुबिँ,अर्द॑ने,['इ'],परस्मैपदी,सेट्,लुम्ब्
१.४९४,भ्वादि,तुबिँ,अर्द॑ने,['इ'],परस्मैपदी,सेट्,तुम्ब्
१.४९५,भ्वादि,चुबिँ,वक्त्रसंयो॒गे,['इ'],परस्मैपदी,सेट्,चुम्ब्
१.४९६,भ्वादि,षृभुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सेट्,सृभ्
१.४९७,भ्वादि,षृम्भुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सेट्,सृम्भ्
१.४९८,भ्वादि,षिभुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सेट्,सिभ्
१.४९९,भ्वादि,षिम्भुँ,हिं॒सार्थौ॑,['उ'],परस्मैपदी,सेट्,सिम्भ्
१.५००,भ्वादि,शुभँ,भाष॑ने,['अ'],परस्मैपदी,सेट्,शुभ्
१.५०१,भ्वादि,शुम्भँ,भाष॑ने,['अ'],परस्मैपदी,सेट्,शुम्भ्
१.५०२,भ्वादि,घिणिँ॒,ग्रह॑णे,['इ'],आत्मनेपदी,सेट्,घिण्ण्
१.५०३,भ्वादि,घुणिँ॒,ग्रह॑णे,['इ'],आत्मनेपदी,सेट्,घुण्ण्
१.५०४,भ्वादि,घृणिँ॒,ग्रह॑णे,['इ'],आत्मनेपदी,सेट्,घृण्ण्
१.५०५,भ्वादि,घुणँ॒,भ्रम॑णे,['अ'],आत्मनेपदी,सेट्,घुण्
१.५०६,भ्वादि,घूर्णँ॒,भ्रम॑णे,['अ'],आत्मनेपदी,सेट्,घूर्ण्
१.५०७,भ्वादि,पणँ॒,व्यवहा॒रे स्तुतौ॑ च,['अ'],आत्मनेपदी,सेट्,पण्
१.५०८,भ्वादि,पनँ॒,व्यवहा॒रे स्तुतौ॑ च,['अ'],आत्मनेपदी,सेट्,पन्
१.५०९,भ्वादि,भामँ॒,क्रोधे॑,['अ'],आत्मनेपदी,सेट्,भाम्
१.५१०,भ्वादि,क्षमूँ॒ष्,सह॑ने,"['ष्', 'ऊ']",आत्मनेपदी,वेट्,क्षम्
१.५११,भ्वादि,कमुँ॒,कान्तौ॑,['उ'],आत्मनेपदी,सेट्,कम्
१.५१२,भ्वादि,अणँ,शब्दे,['अ'],परस्मैपदी,सेट्,अण्
१.५१३,भ्वादि,रणँ,शब्दे,['अ'],परस्मैपदी,सेट्,रण्
१.५१४,भ्वादि,वणँ,शब्दे,['अ'],परस्मैपदी,सेट्,वण्
१.५१५,भ्वादि,भणँ,शब्दे,['अ'],परस्मैपदी,सेट्,भण्
१.५१६,भ्वादि,मणँ,शब्दे,['अ'],परस्मैपदी,सेट्,मण्
१.५१७,भ्वादि,कणँ,शब्दे,['अ'],परस्मैपदी,सेट्,कण्
१.५१८,भ्वादि,क्वणँ,शब्दे,['अ'],परस्मैपदी,सेट्,क्वण्
१.५१९,भ्वादि,व्रणँ,शब्दे,['अ'],परस्मैपदी,सेट्,व्रण्
१.५२०,भ्वादि,भ्रणँ,शब्दे,['अ'],परस्मैपदी,सेट्,भ्रण्
१.५२१,भ्वादि,ध्वणँ,शब्दे,['अ'],परस्मैपदी,सेट्,ध्वण्
१.५२२,भ्वादि,धणँ,शब्दे,['अ'],परस्मैपदी,सेट्,धण्
१.५२३,भ्वादि,ओणृँ,अप॒नय॑ने,['ऋ'],परस्मैपदी,सेट्,ओण्
१.५२४,भ्वादि,शोणृँ,वर्णग॒त्योः,['ऋ'],परस्मैपदी,सेट्,शोण्
१.५२५,भ्वादि,श्रोणृँ,सङ्घा॒ते,['ऋ'],परस्मैपदी,सेट्,श्रोण्
१.५२६,भ्वादि,श्लोणृँ,सङ्घा॒ते,['ऋ'],परस्मैपदी,सेट्,श्लोण्
१.५२७,भ्वादि,पैणृँ,गतिप्रेरणश्लेष॒णेषु॑,['ऋ'],परस्मैपदी,सेट्,पैण्
१.५२८,भ्वादि,प्रैणृँ,गतिप्रेरणश्लेष॒णेषु॑,['ऋ'],परस्मैपदी,सेट्,प्रैण्
१.५२९,भ्वादि,ध्रणँ,शब्दे॑,['अ'],परस्मैपदी,सेट्,ध्रण्
१.५३०,भ्वादि,बणँ,शब्दे॑,['अ'],परस्मैपदी,सेट्,बण्
१.५३१,भ्वादि,कनीँ,दीप्तिकान्तिग॒तिषु॑,['ई'],परस्मैपदी,सेट्,कन्
१.५३२,भ्वादि,ष्टनँ,शब्दे॑,['अ'],परस्मैपदी,सेट्,स्तन्
१.५३३,भ्वादि,वनँ,शब्दे॑,['अ'],परस्मैपदी,सेट्,वन्
१.५३४,भ्वादि,वनँ,सम्भ॑क्तौ,['अ'],परस्मैपदी,सेट्,वन्
१.५३५,भ्वादि,षनँ,सम्भ॑क्तौ,['अ'],परस्मैपदी,सेट्,सन्
१.५३६,भ्वादि,अमँ,गत्या॑दिषु (गतौ॒ शब्दे॑ सम्भ॑क्तौ॑ च),['अ'],परस्मैपदी,सेट्,अम्
१.५३७,भ्वादि,द्रमँ,गतौ॑,['अ'],परस्मैपदी,सेट्,द्रम्
१.५३८,भ्वादि,हम्मँ,गतौ॑,['अ'],परस्मैपदी,सेट्,हम्म्
१.५३९,भ्वादि,मीमृँ,गतौ॑ शब्दे॑ च,['ऋ'],परस्मैपदी,सेट्,मीम्
१.५४०,भ्वादि,चमुँ,अद॑ने,['उ'],परस्मैपदी,सेट्,चम्
१.५४१,भ्वादि,छमुँ,अद॑ने,['उ'],परस्मैपदी,सेट्,छम्
१.५४२,भ्वादि,जमुँ,अद॑ने,['उ'],परस्मैपदी,सेट्,जम्
१.५४३,भ्वादि,झमुँ,अद॑ने,['उ'],परस्मैपदी,सेट्,झम्
१.५४४,भ्वादि,जिमुँ,अद॑ने,['उ'],परस्मैपदी,सेट्,जिम्
१.५४५,भ्वादि,क्रमुँ,,['उ'],परस्मैपदी,सेट्,क्रम्
१.५४६,भ्वादि,अयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,अय्
१.५४७,भ्वादि,वयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,वय्
१.५४८,भ्वादि,पयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,पय्
१.५४९,भ्वादि,मयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,मय्
१.५५०,भ्वादि,चयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,चय्
१.५५१,भ्वादि,तयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,तय्
१.५५२,भ्वादि,णयँ॒,गतौ॑ रक्ष॑णे च,['अ'],आत्मनेपदी,सेट्,णय्
१.५५३,भ्वादि,दयँ॒,दानगतिरक्षणहिंसादा॒नेषु॑,['अ'],आत्मनेपदी,सेट्,दय्
१.५५४,भ्वादि,रयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,रय्
१.५५५,भ्वादि,लयँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,लय्
१.५५६,भ्वादि,ऊयीँ॒,तन्तुसन्ता॒ने,['ई'],आत्मनेपदी,सेट्,ऊय्
१.५५७,भ्वादि,पूयीँ॒,वि॒शर॑णे दुर्ग॒न्धे च॑,['ई'],आत्मनेपदी,सेट्,पूय्
१.५५८,भ्वादि,क्नूयीँ॒,शब्द॒ उन्दे॑ च,['ई'],आत्मनेपदी,सेट्,क्नूय्
१.५५९,भ्वादि,क्ष्मायीँ॒,वि॒धून॑ने,['ई'],आत्मनेपदी,सेट्,क्ष्माय्
१.५६०,भ्वादि,स्फायीँ॒,वृद्धौ॑,['ई'],आत्मनेपदी,सेट्,स्फाय्
१.५६१,भ्वादि,ओँप्यायीँ॒,वृद्धौ॑,['ई'],आत्मनेपदी,सेट्,ओप्याय्
१.५६२,भ्वादि,तायृँ॒,सन्तानपाल॒नयोः॑,['ऋ'],आत्मनेपदी,सेट्,ताय्
१.५६३,भ्वादि,शलँ॒,चलनसंवर॒णयोः॑,['अ'],आत्मनेपदी,सेट्,शल्
१.५६४,भ्वादि,वल॒,सं॒वर॑णे स॒ञ्चल॑ने च,[],परस्मैपदी,अनिट्,वल
१.५६५,भ्वादि,वल्लँ॒,सं॒वर॑णे स॒ञ्चल॑ने च,['अ'],आत्मनेपदी,सेट्,वल्ल्
१.५६६,भ्वादि,मलँ॒,धार॑णे,['अ'],आत्मनेपदी,सेट्,मल्
१.५६७,भ्वादि,मल्लँ॒,धार॑णे,['अ'],आत्मनेपदी,सेट्,मल्ल्
१.५६८,भ्वादि,भलँ॒,परिभाषणहिंसादा॒नेषु॑,['अ'],आत्मनेपदी,सेट्,भल्
१.५६९,भ्वादि,भल्लँ॒,परिभाषणहिंसादा॒नेषु॑,['अ'],आत्मनेपदी,सेट्,भल्ल्
१.५७०,भ्वादि,कलँ॒,शब्दसङ्ख्या॒नयोः॑,['अ'],आत्मनेपदी,सेट्,कल्
१.५७१,भ्वादि,कल्लँ॒,अव्य॑क्ते॒ शब्दे॑ । अश॑ब्द॒ इत्येके॑,['अ'],आत्मनेपदी,सेट्,कल्ल्
१.५७२,भ्वादि,तेवृँ॒,देव॑ने,['ऋ'],आत्मनेपदी,सेट्,तेव्
१.५७३,भ्वादि,देवृँ॒,देव॑ने,['ऋ'],आत्मनेपदी,सेट्,देव्
१.५७४,भ्वादि,षेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,सेट्,सेव्
१.५७५,भ्वादि,गेवृँ॒,सेव॑ने,['ऋ'],आत्मनेपदी,सेट्,गेव्
