स्थिति,सूत्र,टिप्पणी
क्षि॒पँ॑,-,-
क्षि॒पँ॑,उपदेशेऽजनुनासिक इत् (1.3.2),अकारस्य इत्संज्ञा
क्षि॒प्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
क्षि॒प्,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
क्षिप्,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
