स्थिति,सूत्र,टिप्पणी
बृहूँ,-,-
बृहूँ,उपदेशेऽजनुनासिक इत् (1.3.2),ऊकारस्य इत्संज्ञा
बृह्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
बृह्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
बृह्,स्वरतिसूतिसूयतिधूञूदितो वा (7.2.44),धातुः वेट्
