स्थिति,सूत्र,टिप्पणी
श्रम्भुँ॒,-,-
श्रम्भुँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),उकारस्य इत्संज्ञा
श्रम्भ्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
श्रम्भ्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
