स्थिति,सूत्र,टिप्पणी
टुयाचृँ॑,-,-
टुयाचृँ॑,उपदेशेऽजनुनासिक इत् (1.3.2),ऋकारस्य इत्संज्ञा
टुयाचृँ॑,हलन्त्यम् (1.3.3),टु-इत्यस्य इत्संज्ञा
याच्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
याच्,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
