स्थिति,सूत्र,टिप्पणी
ञिभी॒,-,-
ञिभी॒,हलन्त्यम् (1.3.3),ञि-इत्यस्य इत्संज्ञा
भी॒,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
भी॒,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
भी,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
