स्थिति,सूत्र,टिप्पणी
काचिँ॒,-,-
काचिँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
काच्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
काच्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
कान्च्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
कांच्,नश्चापदान्तस्य झलि (8.3.24),अनुस्वारादेशः
काञ्च्,अनुस्वारस्य_ययि_परसवर्णः (8.4.58),परसवर्णादेशः
