स्थिति,सूत्र,टिप्पणी
यु॒जिँ॑र्,-,-
यु॒जिँ॑र्,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
यु॒जिँ॑र्,हलन्त्यम् (1.3.3),रकारस्य इत्संज्ञा
यु॒ज्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
यु॒ज्,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
युज्,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
युन्ज्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
युंज्,नश्चापदान्तस्य झलि (8.3.24),अनुस्वारादेशः
युञ्ज्,अनुस्वारस्य_ययि_परसवर्णः (8.4.58),परसवर्णादेशः
