स्थिति,सूत्र,टिप्पणी
क्षिणुँ॑,-,-
क्षिणुँ॑,उपदेशेऽजनुनासिक इत् (1.3.2),उकारस्य इत्संज्ञा
क्षिण्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
क्षिण्,स्वरितञितः कर्त्रभिप्राये क्रियाफले (1.3.72),उभयपदसंज्ञा
