स्थिति,सूत्र,टिप्पणी
पि॒षॢँ,-,-
पि॒षॢँ,उपदेशेऽजनुनासिक इत् (1.3.2),ऌकारस्य इत्संज्ञा
पि॒ष्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
पि॒ष्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
पिष्,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
