स्थिति,सूत्र,टिप्पणी
ष्व॒ञ्जँ॒,-,-
ष्व॒ञ्जँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),अकारस्य इत्संज्ञा
ष्व॒ञ्ज्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
ष्व॒ञ्ज्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
ष्वञ्ज्,एकाच उपदेशेऽनुदात्तात् (7.2.10),धातुः अनिट्
स्वञ्ज्,धात्वादेः षः सः (6.1.64),धातोरादेः षस्य सः
