स्थिति,सूत्र,टिप्पणी
ध्वाक्षिँ,-,-
ध्वाक्षिँ,उपदेशेऽजनुनासिक इत् (1.3.2),इकारस्य इत्संज्ञा
ध्वाक्ष्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
ध्वाक्ष्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
ध्वान्क्ष्,इदितो_नुम्_धातोः (7.1.58),नुमागामः
ध्वांक्ष्,नश्चापदान्तस्य झलि (8.3.24),अनुस्वारादेशः
ध्वाङ्क्ष्,अनुस्वारस्य_ययि_परसवर्णः (8.4.58),परसवर्णादेशः
