स्थिति,सूत्र,टिप्पणी
वस्तँ॒,-,-
वस्तँ॒,उपदेशेऽजनुनासिक इत् (1.3.2),अकारस्य इत्संज्ञा
वस्त्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
वस्त्,अनुदात्तङित आत्मनेपदम् (1.3.12),आत्मनेपदसंज्ञा
