स्थिति,सूत्र,टिप्पणी
णडँ,-,-
णडँ,उपदेशेऽजनुनासिक इत् (1.3.2),अकारस्य इत्संज्ञा
णड्,तस्य लोपः (1.3.9),इत्संज्ञकलोपः
णड्,शेषात् कर्तरि परस्मैपदम् (1.3.78),परस्मैपदसंज्ञा
नड्,णो नः (6.1.65),धातोरादेः णस्य नः
