क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,धातु,इडागम
१.२१५,भ्वादि,अञ्चुँ,गतिपूज॒नयोः॑,['उ'],परस्मैपदी,अञ्च्,सेट्
१.२१६,भ्वादि,वञ्चुँ,गतौ॑,['उ'],परस्मैपदी,वञ्च्,सेट्
१.२१७,भ्वादि,चञ्चुँ,गतौ॑,['उ'],परस्मैपदी,चञ्च्,सेट्
१.२१८,भ्वादि,तञ्चुँ,गतौ॑,['उ'],परस्मैपदी,तञ्च्,सेट्
१.२१९,भ्वादि,त्वञ्चुँ,गतौ॑,['उ'],परस्मैपदी,त्वञ्च्,सेट्
१.२२०,भ्वादि,म्रुञ्चुँ,गतौ॑,['उ'],परस्मैपदी,म्रुञ्च्,सेट्
१.२२१,भ्वादि,म्लुञ्चुँ,गतौ॑,['उ'],परस्मैपदी,म्लुञ्च्,सेट्
१.२२२,भ्वादि,म्रुचुँ,गतौ॑,['उ'],परस्मैपदी,म्रुच्,सेट्
१.२२३,भ्वादि,म्लुचुँ,गतौ॑,['उ'],परस्मैपदी,म्लुच्,सेट्
१.२२४,भ्वादि,ग्रुचुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,ग्रुच्,सेट्
१.२२५,भ्वादि,ग्लुचुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,ग्लुच्,सेट्
१.२२६,भ्वादि,कुजुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,कुज्,सेट्
१.२२७,भ्वादि,खुजुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,खुज्,सेट्
१.२२८,भ्वादि,ग्लुञ्चँ,गतौ॑,['अ'],परस्मैपदी,ग्लुञ्च्,सेट्
१.२२९,भ्वादि,षस्जँ,गतौ॑ षस्जि॑रात्मनेप॒द्यपि॑,['अ'],परस्मैपदी,सस्ज्,सेट्
१.२३०,भ्वादि,गुजँ,अव्य॑क्ते॒ शब्दे॑,['अ'],परस्मैपदी,गुज्,सेट्
१.२३१,भ्वादि,गुजिँ,अव्य॑क्ते॒ शब्दे॑,['इ'],परस्मैपदी,गुञ्ज्,सेट्
१.२३२,भ्वादि,अर्चँ,पू॒जाया॑म्,['अ'],परस्मैपदी,अर्च्,सेट्
१.२३३,भ्वादि,म्लेछँ,अव्य॑क्ते॒ शब्दे॑,['अ'],परस्मैपदी,म्लेछ्,सेट्
१.२३४,भ्वादि,लछँ,लक्ष॑णे,['अ'],परस्मैपदी,लछ्,सेट्
१.२३५,भ्वादि,लाछिँ,लक्ष॑णे,['इ'],परस्मैपदी,लाञ्छ्,सेट्
१.२३६,भ्वादि,वाछिँ,इ॒च्छाया॑म्,['इ'],परस्मैपदी,वाञ्छ्,सेट्
१.२३७,भ्वादि,आछिँ,आया॒मे,['इ'],परस्मैपदी,आञ्छ्,सेट्
१.२३८,भ्वादि,ह्रीछँ,ल॒ज्जाया॑म्,['अ'],परस्मैपदी,ह्रीछ्,सेट्
१.२३९,भ्वादि,हुर्छाँ,कौटि॑ल्ये,['आ'],परस्मैपदी,हुर्छ्,सेट्
१.२४०,भ्वादि,मुर्छाँ,मोहनसमुच्छ्रा॒ययोः॑,['आ'],परस्मैपदी,मुर्छ्,सेट्
१.२४१,भ्वादि,स्फुर्छाँ,विस्तृ॑तौ,['आ'],परस्मैपदी,स्फुर्छ्,सेट्
१.२४२,भ्वादि,युछँ,प्रमा॒दे,['अ'],परस्मैपदी,युछ्,सेट्
१.२४३,भ्वादि,उछिँ,उ॒ञ्छे,['इ'],परस्मैपदी,उञ्छ्,सेट्
