क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,धातु,इडागम
१.१,भ्वादि,भू,सत्ता॑याम्,[],परस्मैपदी,भू,सेट्
१.२,भ्वादि,एधँ॒,वृद्धौ॑,['अ'],आत्मनेपदी,एध्,सेट्
१.३,भ्वादि,स्पर्धँ॒,सङ्घ॒र्षे,['अ'],आत्मनेपदी,स्पर्ध्,सेट्
१.४,भ्वादि,गाधृँ॒,प्रतिष्ठालि॒प्सयो॑र्ग्र॒न्थे,['ऋ'],आत्मनेपदी,गाध्,सेट्
१.५,भ्वादि,बाधृँ॒,लोड॑ने,['ऋ'],आत्मनेपदी,बाध्,सेट्
१.६,भ्वादि,नाधृँ॒,याच्ञोपतापैश्वर्या॒शीष्षु॑,['ऋ'],आत्मनेपदी,नाध्,सेट्
१.७,भ्वादि,नाथृँ॒,याच्ञोपतापैश्वर्या॒शीष्षु॑,['ऋ'],आत्मनेपदी,नाथ्,सेट्
१.८,भ्वादि,दधँ॒,धार॑णे,['अ'],आत्मनेपदी,दध्,सेट्
१.९,भ्वादि,स्कुदिँ॒,आ॒प्रव॑णे,['इ'],आत्मनेपदी,स्कुन्द्,सेट्
१.१०,भ्वादि,श्विदिँ॒,श्वैत्ये॑,['इ'],आत्मनेपदी,श्विन्द्,सेट्
१.११,भ्वादि,वदिँ॒,अभिवादनस्तु॒त्योः,['इ'],आत्मनेपदी,वन्द्,सेट्
१.१२,भ्वादि,भदिँ॒,क॒ल्याणे॑ सु॒खे च॑,['इ'],आत्मनेपदी,भन्द्,सेट्
१.१३,भ्वादि,मदिँ॒,स्तुतिमोदमदस्वप्नकान्तिग॒तिषु॑,['इ'],आत्मनेपदी,मन्द्,सेट्
१.१४,भ्वादि,स्पदिँ॒,किञ्चि॒च्चल॑ने,['इ'],आत्मनेपदी,स्पन्द्,सेट्
१.१५,भ्वादि,क्लिदिँ॒,परि॒देव॑ने,['इ'],आत्मनेपदी,क्लिन्द्,सेट्
१.१६,भ्वादि,मुदँ॒,हर्षे॑,['अ'],आत्मनेपदी,मुद्,सेट्
१.१७,भ्वादि,ददँ॒,दा॒ने,['अ'],आत्मनेपदी,दद्,सेट्
१.१८,भ्वादि,ष्वदँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,स्वद्,सेट्
१.१९,भ्वादि,स्वर्दँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,स्वर्द्,सेट्
१.२०,भ्वादि,उर्दँ॒,माने॑ क्री॒डायां॑ च,['अ'],आत्मनेपदी,उर्द्,सेट्
१.२१,भ्वादि,कुर्दँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,कुर्द्,सेट्
१.२२,भ्वादि,खुर्दँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,खुर्द्,सेट्
१.२३,भ्वादि,गुर्दँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,गुर्द्,सेट्
१.२४,भ्वादि,गुदँ॒,क्री॒डाया॑मे॒व,['अ'],आत्मनेपदी,गुद्,सेट्
१.२५,भ्वादि,षूदँ॒,क्षर॑णे,['अ'],आत्मनेपदी,सूद्,सेट्
१.२६,भ्वादि,ह्रादँ॒,अव्य॑क्ते॒ शब्दे॑,['अ'],आत्मनेपदी,ह्राद्,सेट्
१.२७,भ्वादि,ह्लादीँ॒,सु॒खे च॑,['ई'],आत्मनेपदी,ह्लाद्,सेट्
१.२८,भ्वादि,स्वादँ॒,आ॒स्वाद॑ने,['अ'],आत्मनेपदी,स्वाद्,सेट्
१.२९,भ्वादि,पर्दँ॒,कुत्सि॒ते शब्दे॑,['अ'],आत्मनेपदी,पर्द्,सेट्
१.३०,भ्वादि,यतीँ॒,प्रय॒त्ने,['ई'],आत्मनेपदी,यत्,सेट्
१.३१,भ्वादि,युतृँ॒,भास॑ने,['ऋ'],आत्मनेपदी,युत्,सेट्
१.३२,भ्वादि,जुतृँ॒,भास॑ने,['ऋ'],आत्मनेपदी,जुत्,सेट्
१.३३,भ्वादि,विथृँ॒,याच॑ने,['ऋ'],आत्मनेपदी,विथ्,सेट्
१.३४,भ्वादि,वेथृँ॒,याच॑ने,['ऋ'],आत्मनेपदी,वेथ्,सेट्
१.३५,भ्वादि,श्रथिँ॒,शैथि॑ल्ये,['इ'],आत्मनेपदी,श्रन्थ्,सेट्
१.३६,भ्वादि,ग्रथिँ॒,कौटि॑ल्ये,['इ'],आत्मनेपदी,ग्रन्थ्,सेट्
१.३७,भ्वादि,कत्थँ॒,श्ला॒घाया॑म्,['अ'],आत्मनेपदी,कत्थ्,सेट्
१.३८,भ्वादि,अतँ,सात॑त्यगमने,['अ'],परस्मैपदी,अत्,सेट्
१.३९,भ्वादि,चितीँ,स॒ञ्ज्ञाने॑,['ई'],परस्मैपदी,चित्,सेट्
१.४०,भ्वादि,च्युतिँर्,आ॒सेच॑ने,"['इ', 'इर्']",परस्मैपदी,च्युन्त्,सेट्
१.४१,भ्वादि,श्चुतिँर्,इत्येके॑,"['इ', 'इर्']",परस्मैपदी,श्चुन्त्,सेट्
१.४२,भ्वादि,श्च्युतिँर्,क्षर॑णे,"['इ', 'इर्']",परस्मैपदी,श्च्युन्त्,सेट्
१.४३,भ्वादि,ज्युतिँर्,भास॑ने,"['इ', 'इर्']",परस्मैपदी,ज्युन्त्,सेट्
१.४४,भ्वादि,मन्थँ,वि॒लोड॑ने,['अ'],परस्मैपदी,मन्थ्,सेट्
१.४५,भ्वादि,कुथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,कुन्थ्,सेट्
१.४६,भ्वादि,पुथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,पुन्थ्,सेट्
१.४७,भ्वादि,लुथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,लुन्थ्,सेट्
१.४८,भ्वादि,मथिँ,हिंसासङ्क्लेश॒नयोः॑,['इ'],परस्मैपदी,मन्थ्,सेट्
१.४९,भ्वादि,षिधँ,गत्या॑म्,['अ'],परस्मैपदी,सिध्,सेट्
१.५०,भ्वादि,षिधूँ,शा॒स्त्रे माङ्ग॑ल्ये च,['ऊ'],परस्मैपदी,सिध्,वेट्
१.५१,भ्वादि,खादृँ,भक्ष॑णे,['ऋ'],परस्मैपदी,खाद्,सेट्
१.५२,भ्वादि,खदँ,स्थैर्ये॑ हिं॒सायां॑ च,['अ'],परस्मैपदी,खद्,सेट्
१.५३,भ्वादि,बदँ,स्थैर्ये॑,['अ'],परस्मैपदी,बद्,सेट्
१.५४,भ्वादि,गदँ,व्य॑क्तायां वा॒चि,['अ'],परस्मैपदी,गद्,सेट्
१.५५,भ्वादि,रदँ,वि॒लेख॑ने,['अ'],परस्मैपदी,रद्,सेट्
१.५६,भ्वादि,णदँ,अव्य॑क्ते॒ शब्दे॑,['अ'],परस्मैपदी,नद्,सेट्
१.५७,भ्वादि,अर्दँ,गतौ॒ याच॑ने च,['अ'],परस्मैपदी,अर्द्,सेट्
१.५८,भ्वादि,नर्दँ,शब्दे॑,['अ'],परस्मैपदी,नर्द्,सेट्
१.५९,भ्वादि,गर्दँ,शब्दे॑,['अ'],परस्मैपदी,गर्द्,सेट्
१.६०,भ्वादि,तर्दँ,हिं॒साया॑म्,['अ'],परस्मैपदी,तर्द्,सेट्
१.६१,भ्वादि,कर्दँ,कुत्सि॒ते शब्दे॑,['अ'],परस्मैपदी,कर्द्,सेट्
१.६२,भ्वादि,खर्दँ,दन्द॒शूके॑,['अ'],परस्मैपदी,खर्द्,सेट्
१.६३,भ्वादि,अतिँ,बन्ध॑ने,['इ'],परस्मैपदी,अन्त्,सेट्
१.६४,भ्वादि,अदिँ,बन्ध॑ने,['इ'],परस्मैपदी,अन्द्,सेट्
१.६५,भ्वादि,इदिँ,परमैश्व॒र्ये,['इ'],परस्मैपदी,इन्द्,सेट्
१.६६,भ्वादि,बिदिँ,अवय॒वे,['इ'],परस्मैपदी,बिन्द्,सेट्
१.६७,भ्वादि,भिदिँ,इत्येके॑,['इ'],परस्मैपदी,भिन्द्,सेट्
१.६८,भ्वादि,गडिँ,वदनैकदे॒शे,['इ'],परस्मैपदी,गण्ड्,सेट्
१.६९,भ्वादि,णिदिँ,कु॒त्साया॑म्,['इ'],परस्मैपदी,निन्द्,सेट्
१.७०,भ्वादि,टुनदिँ,समृ॑द्धौ,"['इ', 'टु']",परस्मैपदी,नन्द्,सेट्
१.७१,भ्वादि,चदिँ,आह्ला॒दे दीप्तौ॑ च,['इ'],परस्मैपदी,चन्द्,सेट्
१.७२,भ्वादि,त्रदिँ,चे॒ष्टाया॑म्,['इ'],परस्मैपदी,त्रन्द्,सेट्
१.७३,भ्वादि,कदिँ,आह्वा॒ने॒ रोद॑ने च,['इ'],परस्मैपदी,कन्द्,सेट्
१.७४,भ्वादि,क्रदिँ,आह्वा॒ने॒ रोद॑ने च,['इ'],परस्मैपदी,क्रन्द्,सेट्
१.७५,भ्वादि,क्लदिँ,आह्वा॒ने॒ रोद॑ने च,['इ'],परस्मैपदी,क्लन्द्,सेट्
१.७६,भ्वादि,क्लिदिँ,परि॒देव॑ने,['इ'],परस्मैपदी,क्लिन्द्,सेट्
१.७७,भ्वादि,शुन्धँ,,['अ'],परस्मैपदी,शुन्ध्,सेट्
१.७८,भ्वादि,शीकृँ॒,सेच॑ने,['ऋ'],आत्मनेपदी,शीक्,सेट्
१.७९,भ्वादि,सीकृँ॒,इत्येके॑,['ऋ'],आत्मनेपदी,सीक्,सेट्
१.८०,भ्वादि,लोकृँ॒,दर्श॑ने,['ऋ'],आत्मनेपदी,लोक्,सेट्
१.८१,भ्वादि,श्लोकृँ॒,सङ्घा॒ते,['ऋ'],आत्मनेपदी,श्लोक्,सेट्
१.८२,भ्वादि,स्रोकृँ॒,इति॑ पाठान्त॒रम्,['ऋ'],आत्मनेपदी,स्रोक्,सेट्
१.८३,भ्वादि,द्रेकृँ॒,शब्दोत्साह॒योः॑,['ऋ'],आत्मनेपदी,द्रेक्,सेट्
१.८४,भ्वादि,ध्रेकृँ॒,शब्दोत्साह॒योः॑,['ऋ'],आत्मनेपदी,ध्रेक्,सेट्
१.८५,भ्वादि,रेकृँ॒,श॒ङ्काया॑म्,['ऋ'],आत्मनेपदी,रेक्,सेट्
१.८६,भ्वादि,सेकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,सेक्,सेट्
१.८७,भ्वादि,स्रेकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,स्रेक्,सेट्
१.८८,भ्वादि,स्रकिँ॒,गतौ॑,['इ'],आत्मनेपदी,स्रङ्क्,सेट्
१.८९,भ्वादि,श्रकिँ॒,गतौ॑,['इ'],आत्मनेपदी,श्रङ्क्,सेट्
१.९०,भ्वादि,श्लकिँ॒,गतौ॑,['इ'],आत्मनेपदी,श्लङ्क्,सेट्
१.९१,भ्वादि,शकिँ॒,श॒ङ्काया॑म्,['इ'],आत्मनेपदी,शङ्क्,सेट्
१.९२,भ्वादि,अकिँ॒,लक्ष॑णे,['इ'],आत्मनेपदी,अङ्क्,सेट्
१.९३,भ्वादि,वकिँ॒,कौटि॑ल्ये,['इ'],आत्मनेपदी,वङ्क्,सेट्
१.९४,भ्वादि,मकिँ॒,मण्ड॑ने,['इ'],आत्मनेपदी,मङ्क्,सेट्
१.९५,भ्वादि,ककँ॒,लौल्ये॑,['अ'],आत्मनेपदी,कक्,सेट्
१.९६,भ्वादि,कुकँ॒,आदा॒ने,['अ'],आत्मनेपदी,कुक्,सेट्
१.९७,भ्वादि,वृकँ॒,आदा॒ने,['अ'],आत्मनेपदी,वृक्,सेट्
१.९८,भ्वादि,चकँ॒,तृप्तौ॑ प्रतिघा॒ते च॑,['अ'],आत्मनेपदी,चक्,सेट्
१.९९,भ्वादि,ककिँ॒,गतौ॑,['इ'],आत्मनेपदी,कङ्क्,सेट्
१.१००,भ्वादि,वकिँ॒,गतौ॑,['इ'],आत्मनेपदी,वङ्क्,सेट्
१.१०१,भ्वादि,श्वकिँ॒,गतौ॑,['इ'],आत्मनेपदी,श्वङ्क्,सेट्
१.१०२,भ्वादि,त्रकिँ॒,गतौ॑,['इ'],आत्मनेपदी,त्रङ्क्,सेट्
१.१०३,भ्वादि,ढौकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,ढौक्,सेट्
१.१०४,भ्वादि,त्रौकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,त्रौक्,सेट्
१.१०५,भ्वादि,ष्वष्कँ॒,गतौ॑,['अ'],आत्मनेपदी,स्वष्क्,सेट्
१.१०६,भ्वादि,वस्कँ॒,गतौ॑,['अ'],आत्मनेपदी,वस्क्,सेट्
१.१०७,भ्वादि,मस्कँ॒,गतौ॑,['अ'],आत्मनेपदी,मस्क्,सेट्
१.१०८,भ्वादि,टिकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,टिक्,सेट्
१.१०९,भ्वादि,टीकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,टीक्,सेट्
१.११०,भ्वादि,तिकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,तिक्,सेट्
१.१११,भ्वादि,तीकृँ॒,गतौ॑,['ऋ'],आत्मनेपदी,तीक्,सेट्
१.११२,भ्वादि,रघिँ॒,गतौ॑,['इ'],आत्मनेपदी,रङ्घ्,सेट्
१.११३,भ्वादि,लघिँ॒,गतौ॑ भोजननिवृ॒त्तावपि॑,['इ'],आत्मनेपदी,लङ्घ्,सेट्
१.११४,भ्वादि,ष्वकिँ॒,इत्येके॑ (तृ॒तीयो॒ दन्त्या॑दि॒रित्येके॑),['इ'],आत्मनेपदी,स्वङ्क्,सेट्
१.११५,भ्वादि,अघिँ॒,गत्याक्षे॒पे,['इ'],आत्मनेपदी,अङ्घ्,सेट्
१.११६,भ्वादि,वघिँ॒,गत्याक्षे॒पे,['इ'],आत्मनेपदी,वङ्घ्,सेट्
१.११७,भ्वादि,मघिँ॒,गत्याक्षे॒पे गतौ॑ गत्यार॒म्भे चेत्यप॑रे कैत॑वे च,['इ'],आत्मनेपदी,मङ्घ्,सेट्
१.११८,भ्वादि,राघृँ॒,साम॑र्थ्ये,['ऋ'],आत्मनेपदी,राघ्,सेट्
१.११९,भ्वादि,लाघृँ॒,साम॑र्थ्ये,['ऋ'],आत्मनेपदी,लाघ्,सेट्
१.१२०,भ्वादि,द्राघृँ॒,साम॑र्थ्ये आया॒मे च॑,['ऋ'],आत्मनेपदी,द्राघ्,सेट्
१.१२१,भ्वादि,ध्राघृँ॒,साम॑र्थ्ये,['ऋ'],आत्मनेपदी,ध्राघ्,सेट्
१.१२२,भ्वादि,श्लाघृँ॒,,['ऋ'],आत्मनेपदी,श्लाघ्,सेट्
१.१२३,भ्वादि,फक्कँ,नि॒चैर्ग॑तौ,['अ'],परस्मैपदी,फक्क्,सेट्
१.१२४,भ्वादि,तकँ,हस॑ने,['अ'],परस्मैपदी,तक्,सेट्
१.१२५,भ्वादि,तकिँ,कृच्छ्रजीव॒ने,['इ'],परस्मैपदी,तङ्क्,सेट्
१.१२६,भ्वादि,बुक्कँ,भष॑णे ।,['अ'],परस्मैपदी,बुक्क्,सेट्
१.१२७,भ्वादि,शुकँ,गतौ॑,['अ'],परस्मैपदी,शुक्,सेट्
१.१२८,भ्वादि,कखँ,हस॑ने,['अ'],परस्मैपदी,कख्,सेट्
१.१२९,भ्वादि,ओखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,ओख्,सेट्
१.१३०,भ्वादि,राखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,राख्,सेट्
१.१३१,भ्वादि,लाखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,लाख्,सेट्
१.१३२,भ्वादि,द्राखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,द्राख्,सेट्
१.१३३,भ्वादि,ध्राखृँ,शोषणालम॒र्थ्योः,['ऋ'],परस्मैपदी,ध्राख्,सेट्
१.१३४,भ्वादि,शाखृँ,व्या॑प्तौ,['ऋ'],परस्मैपदी,शाख्,सेट्
१.१३५,भ्वादि,श्लाखृँ,व्या॑प्तौ,['ऋ'],परस्मैपदी,श्लाख्,सेट्
१.१३६,भ्वादि,उखँ,गतौ॑,['अ'],परस्मैपदी,उख्,सेट्
१.१३७,भ्वादि,उखिँ,गतौ॑,['इ'],परस्मैपदी,उङ्ख्,सेट्
१.१३८,भ्वादि,वखँ, गतौ॑,['अ'],परस्मैपदी,वख्,सेट्
१.१३९,भ्वादि,वखिँ, गतौ॑,['इ'],परस्मैपदी,वङ्ख्,सेट्
१.१४०,भ्वादि,मखँ, गतौ॑,['अ'],परस्मैपदी,मख्,सेट्
१.१४१,भ्वादि,मखिँ, गतौ॑,['इ'],परस्मैपदी,मङ्ख्,सेट्
१.१४२,भ्वादि,णखँ, गतौ॑,['अ'],परस्मैपदी,नख्,सेट्
१.१४३,भ्वादि,णखिँ, गतौ॑,['इ'],परस्मैपदी,नङ्ख्,सेट्
१.१४४,भ्वादि,रखँ, गतौ॑,['अ'],परस्मैपदी,रख्,सेट्
१.१४५,भ्वादि,रखिँ, गतौ॑,['इ'],परस्मैपदी,रङ्ख्,सेट्
१.१४६,भ्वादि,लखँ, गतौ॑,['अ'],परस्मैपदी,लख्,सेट्
१.१४७,भ्वादि,लखिँ, गतौ॑,['इ'],परस्मैपदी,लङ्ख्,सेट्
१.१४८,भ्वादि,इखँ, गतौ॑,['अ'],परस्मैपदी,इख्,सेट्
१.१४९,भ्वादि,इखिँ, गतौ॑,['इ'],परस्मैपदी,इङ्ख्,सेट्
१.१५०,भ्वादि,ईखँ, गतौ॑,['अ'],परस्मैपदी,ईख्,सेट्
१.१५१,भ्वादि,ईखिँ, गतौ॑,['इ'],परस्मैपदी,ईङ्ख्,सेट्
१.१५२,भ्वादि,वल्गँ, गतौ॑,['अ'],परस्मैपदी,वल्ग्,सेट्
१.१५३,भ्वादि,रगिँ, गतौ॑,['इ'],परस्मैपदी,रङ्ग्,सेट्
१.१५४,भ्वादि,लगिँ, गतौ॑,['इ'],परस्मैपदी,लङ्ग्,सेट्
१.१५५,भ्वादि,अगिँ, गतौ॑,['इ'],परस्मैपदी,अङ्ग्,सेट्
१.१५६,भ्वादि,वगिँ, गतौ॑,['इ'],परस्मैपदी,वङ्ग्,सेट्
१.१५७,भ्वादि,मगिँ, गतौ॑,['इ'],परस्मैपदी,मङ्ग्,सेट्
१.१५८,भ्वादि,तगिँ, गतौ॑,['इ'],परस्मैपदी,तङ्ग्,सेट्
१.१५९,भ्वादि,त्वगिँ, गतौ॑,['इ'],परस्मैपदी,त्वङ्ग्,सेट्
१.१६०,भ्वादि,त्रगिँ, गतौ॑,['इ'],परस्मैपदी,त्रङ्ग्,सेट्
१.१६१,भ्वादि,श्रगिँ,गतौ॑,['इ'],परस्मैपदी,श्रङ्ग्,सेट्
१.१६२,भ्वादि,श्लगिँ, गतौ॑,['इ'],परस्मैपदी,श्लङ्ग्,सेट्
१.१६३,भ्वादि,इगिँ, गतौ॑,['इ'],परस्मैपदी,इङ्ग्,सेट्
१.१६४,भ्वादि,रिगिँ, गतौ॑,['इ'],परस्मैपदी,रिङ्ग्,सेट्
१.१६५,भ्वादि,लिगिँ,गतौ॑,['इ'],परस्मैपदी,लिङ्ग्,सेट्
१.१६६,भ्वादि,मुखिँ,गतौ॑,['इ'],परस्मैपदी,मुङ्ख्,सेट्
१.१६७,भ्वादि,थकिँ,गतौ॑,['इ'],परस्मैपदी,थङ्क्,सेट्
१.१६८,भ्वादि,रिखँ,गतौ॑,['अ'],परस्मैपदी,रिख्,सेट्
१.१६९,भ्वादि,रिखिँ,गतौ॑,['इ'],परस्मैपदी,रिङ्ख्,सेट्
१.१७०,भ्वादि,लिखँ,गतौ॑ ।,['अ'],परस्मैपदी,लिख्,सेट्
१.१७१,भ्वादि,लिखिँ,गतौ॑,['इ'],परस्मैपदी,लिङ्ख्,सेट्
१.१७२,भ्वादि,त्रखँ,गतौ॑,['अ'],परस्मैपदी,त्रख्,सेट्
१.१७३,भ्वादि,त्रिखिँ,गतौ॑,['इ'],परस्मैपदी,त्रिङ्ख्,सेट्
१.१७४,भ्वादि,शिखिँ,गतौ॑,['इ'],परस्मैपदी,शिङ्ख्,सेट्
१.१७५,भ्वादि,युगिँ,वर्ज॑ने,['इ'],परस्मैपदी,युङ्ग्,सेट्
१.१७६,भ्वादि,जुगिँ,वर्ज॑ने,['इ'],परस्मैपदी,जुङ्ग्,सेट्
१.१७७,भ्वादि,बुगिँ,वर्ज॑ने,['इ'],परस्मैपदी,बुङ्ग्,सेट्
१.१७८,भ्वादि,वुगिँ,इत्येके॑,['इ'],परस्मैपदी,वुङ्ग्,सेट्
१.१७९,भ्वादि,घघँ,हस॑ने,['अ'],परस्मैपदी,घघ्,सेट्
१.१८०,भ्वादि,घग्घँ,इत्येके॑,['अ'],परस्मैपदी,घग्घ्,सेट्
१.१८१,भ्वादि,दघिँ,पाल॑ने,['इ'],परस्मैपदी,दङ्घ्,सेट्
१.१८२,भ्वादि,लघिँ,शोष॑णे (भा॒षायां॒ दीप्तौ॑ सीमातिक्र॒मे च॑),['इ'],परस्मैपदी,लङ्घ्,सेट्
१.१८३,भ्वादि,मघिँ,मण्ड॑ने,['इ'],परस्मैपदी,मङ्घ्,सेट्
१.१८४,भ्वादि,शिघिँ,आ॒घ्राणे॑ ।,['इ'],परस्मैपदी,शिङ्घ्,सेट्
१.१८५,भ्वादि,अर्घँ,मूल्ये॑,['अ'],परस्मैपदी,अर्घ्,सेट्
१.१८६,भ्वादि,वर्चँ॒,दीप्तौ॑,['अ'],आत्मनेपदी,वर्च्,सेट्
१.१८७,भ्वादि,षचँ॒,सेच॑ने॒ सेव॑ने च,['अ'],आत्मनेपदी,सच्,सेट्
१.१८८,भ्वादि,लोचृँ॒,दर्श॑ने,['ऋ'],आत्मनेपदी,लोच्,सेट्
१.१८९,भ्वादि,शचँ॒,व्य॑क्तायां वा॒चि,['अ'],आत्मनेपदी,शच्,सेट्
१.१९०,भ्वादि,श्वचँ॒,गतौ॑,['अ'],आत्मनेपदी,श्वच्,सेट्
१.१९१,भ्वादि,श्वचिँ॒,गतौ॑,['इ'],आत्मनेपदी,श्वञ्च्,सेट्
१.१९२,भ्वादि,कचँ॒,बन्ध॑ने,['अ'],आत्मनेपदी,कच्,सेट्
१.१९३,भ्वादि,कचिँ॒,दीप्तिबन्ध॒नयोः॑,['इ'],आत्मनेपदी,कञ्च्,सेट्
१.१९४,भ्वादि,काचिँ॒,दीप्तिबन्ध॒नयोः॑,['इ'],आत्मनेपदी,काञ्च्,सेट्
१.१९५,भ्वादि,मचँ॒,कल्क॑ने कथ॑न॒ इत्य॒न्ये,['अ'],आत्मनेपदी,मच्,सेट्
१.१९६,भ्वादि,मुचि॒,कल्क॑ने कथ॑न॒ इत्य॒न्ये,[],परस्मैपदी,मुचि॒,सेट्
१.१९७,भ्वादि,मचिँ॒,धारणोच्छ्रायपूज॒नेषु॑,['इ'],आत्मनेपदी,मञ्च्,सेट्
१.१९८,भ्वादि,पचिँ॒,व्यक्ती॒कर॑णे,['इ'],आत्मनेपदी,पञ्च्,सेट्
१.१९९,भ्वादि,ष्टुचँ॒,प्रसा॒दे,['अ'],आत्मनेपदी,स्तुच्,सेट्
१.२००,भ्वादि,ऋजँ॒,गतिस्थानार्जनोपार्ज॒नेषु॑,['अ'],आत्मनेपदी,ऋज्,सेट्
१.२०१,भ्वादि,ऋजिँ॒,भर्ज॑ने,['इ'],आत्मनेपदी,ऋञ्ज्,सेट्
१.२०२,भ्वादि,भृजीँ॒,भर्ज॑ने,['ई'],आत्मनेपदी,भृज्,सेट्
१.२०३,भ्वादि,एजृँ॒,दीप्तौ॑,['ऋ'],आत्मनेपदी,एज्,सेट्
१.२०४,भ्वादि,भ्रेजृँ॒,दीप्तौ॑,['ऋ'],आत्मनेपदी,भ्रेज्,सेट्
१.२०५,भ्वादि,भ्राजृँ॒,दीप्तौ॑,['ऋ'],आत्मनेपदी,भ्राज्,सेट्
